Subdivision,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan_Feb,Mar_May,Jun_Sep,Oct_Dec,Cloud_Visibility_Pct,Elevation_m,Max_Temp_C,Flood
Coastal Karnataka,2012,8.0,37.1,48.8,130.5,190.4,637.3,674.0,763.7,529.4,211.8,163.1,31.6,3425.7,45.1,369.6,2604.4,406.6,12.0,80.0,25.2,1
Gujarat Region,1994,14.7,13.6,38.6,30.4,224.8,536.9,535.4,352.7,116.5,177.3,98.8,14.5,2154.3,28.3,293.8,1541.5,290.6,48.7,30.0,25.3,1
Coastal Karnataka,1984,14.8,29.8,29.8,102.6,171.7,513.1,752.9,668.5,463.9,290.6,101.6,20.5,3159.7,44.6,304.1,2398.4,412.7,16.0,250.0,32.8,1
Gujarat Region,2014,11.5,9.7,39.3,39.6,257.8,387.7,508.8,444.5,81.9,142.8,113.5,14.8,2051.9,21.2,336.7,1422.9,271.0,39.0,15.0,34.8,0
Assam & Meghalaya,1989,16.6,25.6,36.9,67.1,186.4,532.8,745.1,781.4,411.2,207.9,101.4,27.8,3140.2,42.2,290.4,2470.5,337.1,12.0,15.0,31.2,1
Assam & Meghalaya,2000,17.3,19.0,9.7,81.0,288.6,545.9,678.9,641.3,321.3,235.7,65.6,20.4,2924.8,36.3,379.3,2187.4,321.7,27.2,500.0,31.3,1
Bihar,1984,23.7,5.0,28.5,54.4,161.6,331.9,621.8,450.4,218.1,190.6,61.2,17.4,2164.5,28.7,244.5,1622.1,269.2,52.6,30.0,27.3,1
Bihar,2023,22.3,10.4,32.3,39.8,23.4,441.1,674.7,506.7,189.8,246.9,54.2,33.5,2274.9,32.7,95.4,1812.3,334.5,38.9,500.0,24.8,1
Konkan & Goa,2013,7.8,23.0,52.1,88.0,261.7,689.3,592.8,566.5,356.6,162.7,132.5,30.4,2963.5,30.9,401.8,2205.2,325.5,13.9,15.0,26.0,1
Coastal Karnataka,1986,14.6,26.5,53.0,103.2,175.4,539.3,920.4,601.7,289.7,287.4,75.4,17.6,3104.3,41.1,331.6,2351.1,380.4,12.0,250.0,29.7,1
Gujarat Region,1984,0.0,25.2,50.9,67.1,244.5,113.7,610.3,431.4,172.5,160.1,64.4,17.0,1957.1,25.2,362.4,1327.9,241.4,41.8,80.0,23.2,1
Bihar,1985,9.9,21.2,78.4,19.2,132.2,90.3,692.0,508.1,309.6,74.7,49.7,12.6,1998.0,31.0,229.8,1600.1,137.0,41.0,30.0,23.5,1
Gujarat Region,2008,21.2,23.1,49.8,71.2,168.2,148.0,541.7,456.3,225.1,122.9,76.3,17.3,1921.2,44.2,289.3,1371.1,216.5,56.1,850.0,26.2,0
Kerala,1996,19.9,19.4,86.6,130.1,280.0,380.2,681.1,749.9,377.6,251.0,115.3,23.4,3114.5,39.3,496.7,2188.8,389.6,21.3,15.0,27.9,1
Kerala,1995,11.5,25.4,48.8,107.0,181.0,753.3,765.8,642.4,321.3,294.1,84.3,30.9,3265.7,36.9,336.8,2482.7,409.3,12.0,250.0,30.8,1
East Uttar Pradesh,2007,13.6,21.9,39.0,6.1,173.3,239.4,601.9,319.7,350.1,161.1,90.8,25.3,2042.1,35.4,218.4,1511.1,277.1,36.2,15.0,26.6,1
Gangetic West Bengal,2001,14.1,13.1,20.6,61.5,150.0,478.9,474.8,308.0,167.6,213.7,46.5,35.4,1984.3,27.2,232.2,1429.5,295.5,55.6,500.0,26.3,0
Bihar,1996,10.8,12.2,38.3,29.0,197.1,275.2,605.2,521.7,289.2,159.2,92.4,17.9,2248.4,23.1,264.5,1691.4,269.5,47.0,15.0,32.9,1
Gangetic West Bengal,2013,14.1,18.2,7.0,68.8,172.7,368.2,499.6,359.7,206.7,183.9,20.0,30.3,1949.1,32.4,248.4,1434.1,234.2,47.3,850.0,25.7,0
Kerala,2007,12.1,26.9,35.6,136.3,250.2,486.0,731.0,664.5,369.7,209.7,72.6,35.1,3029.8,38.9,422.1,2251.3,317.5,16.9,80.0,25.6,1
Coastal Karnataka,2011,20.0,27.9,57.1,141.5,265.9,668.7,816.1,401.2,376.3,306.0,118.4,20.2,3219.3,47.8,464.6,2262.3,444.5,13.4,80.0,31.9,1
Odisha,2022,14.0,14.5,9.8,60.8,169.2,443.2,616.5,246.4,366.5,116.1,45.1,0.0,2102.2,28.5,239.9,1672.6,161.2,27.8,500.0,36.7,1
Tamil Nadu,1990,12.2,17.7,50.2,35.9,169.7,335.7,285.8,309.7,357.5,204.6,75.5,19.4,1873.8,29.9,255.7,1288.8,299.5,58.0,850.0,23.6,0
Odisha,1987,0.0,21.8,34.8,79.2,162.0,179.4,626.7,412.2,196.3,167.2,97.1,22.3,1999.2,21.8,276.1,1414.6,286.6,40.2,15.0,36.8,1
Assam & Meghalaya,2019,16.5,23.2,36.3,90.1,241.5,715.1,427.9,714.1,505.5,295.7,130.7,32.3,3229.0,39.7,367.9,2362.6,458.7,16.6,500.0,25.5,1
Konkan & Goa,2002,5.8,14.4,27.5,61.3,187.4,483.5,976.1,706.9,413.4,156.4,131.7,16.8,3181.2,20.1,276.2,2579.9,304.9,12.0,80.0,30.5,1
Sub-Himalayan West Bengal,1998,5.5,11.9,30.0,39.0,143.5,409.5,562.0,495.4,250.0,161.6,82.2,7.1,2197.7,17.4,212.5,1716.9,250.9,39.0,250.0,33.5,1
Bihar,2009,5.6,9.4,20.2,46.7,185.0,298.6,154.5,323.7,373.1,78.4,96.3,25.8,1617.3,15.0,251.8,1149.9,200.5,67.3,30.0,24.0,1
East Uttar Pradesh,2019,4.0,12.3,13.8,10.4,189.7,297.8,459.7,648.9,208.6,206.1,79.1,20.1,2150.5,16.3,213.9,1615.0,305.3,40.5,80.0,26.8,1
Tamil Nadu,1994,2.6,11.6,19.9,57.5,155.8,440.3,589.2,441.7,213.2,153.1,74.9,7.9,2167.7,14.2,233.1,1684.4,235.9,43.3,15.0,33.8,1
Tamil Nadu,1992,15.1,21.9,26.7,33.3,187.1,218.7,519.9,451.8,317.6,0.0,95.3,17.8,1905.4,37.1,247.2,1508.0,113.2,50.4,850.0,30.0,0
Kerala,2022,12.9,32.6,59.4,90.5,187.6,502.1,720.7,880.0,508.9,274.1,75.9,26.8,3371.5,45.5,337.5,2611.8,376.8,14.7,30.0,24.5,1
Gangetic West Bengal,1995,14.4,18.8,52.7,49.7,153.7,440.7,245.6,509.5,213.3,246.1,78.7,37.4,2060.8,33.2,256.2,1409.1,362.3,44.9,850.0,32.1,0
Kerala,2023,10.8,19.9,56.2,87.8,283.0,651.9,1055.9,490.5,519.6,265.8,105.9,29.1,3576.5,30.7,427.0,2717.9,400.8,12.0,30.0,23.1,1
Bihar,2000,5.1,12.2,38.6,70.6,121.2,285.8,436.5,537.2,112.2,147.0,112.9,19.8,1899.2,17.4,230.4,1371.7,279.7,56.1,80.0,31.0,1
Konkan & Goa,2016,14.8,30.8,37.7,93.5,227.8,658.1,1149.8,820.3,347.2,207.3,80.1,22.2,3689.6,45.6,359.0,2975.5,309.5,12.0,80.0,34.3,1
Sub-Himalayan West Bengal,1984,7.5,22.4,21.9,52.0,122.3,374.7,287.4,382.4,226.6,136.4,64.3,4.7,1702.6,29.9,196.2,1271.1,205.5,54.1,500.0,33.9,1
Tamil Nadu,2004,11.6,23.6,50.3,96.2,236.6,393.7,303.5,465.6,185.8,57.7,28.3,5.8,1858.7,35.2,383.0,1348.6,91.8,53.5,80.0,28.3,1
Rayalseema,2009,11.2,16.2,0.8,46.2,172.8,388.0,477.3,499.1,158.3,87.3,111.6,27.5,1996.2,27.4,219.8,1522.7,226.4,46.6,15.0,23.8,1
Coastal Karnataka,1986,15.5,38.9,68.0,62.3,255.8,517.0,777.5,533.2,338.2,314.7,110.7,23.4,3054.9,54.4,386.0,2165.8,448.7,20.7,250.0,33.3,1
Tamil Nadu,1997,5.3,10.2,28.3,79.8,199.7,364.1,643.4,618.6,249.0,221.6,72.0,21.1,2512.9,15.5,307.8,1875.0,314.6,24.9,15.0,25.5,1
Gangetic West Bengal,2009,22.1,24.2,42.5,19.0,145.8,382.8,580.6,272.4,189.8,166.6,107.2,23.1,1976.2,46.3,207.3,1425.6,296.9,43.6,30.0,25.1,1
Kerala,1999,21.7,29.3,33.2,99.0,310.4,540.9,836.3,636.9,347.3,224.1,40.7,39.9,3159.6,51.0,442.6,2361.4,304.7,16.3,15.0,33.7,1
East Uttar Pradesh,2007,5.2,9.6,23.6,64.2,3.9,392.7,695.5,93.3,102.8,117.6,72.0,4.7,1585.2,14.8,91.7,1284.3,194.3,38.4,80.0,29.0,1
Odisha,2013,21.0,25.5,45.1,81.3,172.7,346.7,827.4,462.8,190.2,140.3,93.1,15.1,2421.3,46.5,299.1,1827.2,248.5,23.3,850.0,29.2,1
East Uttar Pradesh,2022,19.5,12.0,2.8,72.0,159.2,364.0,380.7,577.1,403.6,282.1,83.6,38.3,2394.8,31.5,234.0,1725.4,404.0,45.4,30.0,23.4,1
Sub-Himalayan West Bengal,1986,16.4,4.5,0.3,66.8,143.3,235.5,325.9,362.1,322.5,307.1,65.5,14.9,1864.6,20.9,210.3,1245.9,387.5,53.9,500.0,31.7,0
Kerala,1985,30.1,30.5,55.8,158.1,218.8,429.7,869.1,724.1,424.0,213.3,108.5,43.9,3306.1,60.7,432.7,2447.0,365.7,21.1,30.0,33.9,1
Tamil Nadu,2013,10.6,23.0,14.5,35.2,108.8,167.2,499.0,401.1,96.8,186.9,51.1,22.0,1616.3,33.6,158.5,1164.1,260.1,47.5,30.0,29.1,1
Coastal Karnataka,2017,17.6,16.2,40.8,69.7,309.3,622.8,693.5,652.8,644.6,171.6,118.8,33.9,3391.6,33.8,419.8,2613.7,324.3,12.6,30.0,24.7,1
Bihar,2007,6.0,27.3,33.3,25.6,176.2,364.8,330.4,528.7,307.7,130.9,55.8,12.6,1999.2,33.3,235.0,1531.6,199.3,63.0,15.0,27.8,0
Odisha,2008,18.0,3.0,38.9,53.9,159.7,573.3,723.1,697.0,307.5,95.5,116.9,14.0,2800.8,21.0,252.5,2300.8,226.4,15.8,15.0,26.0,1
Rayalseema,2004,6.5,9.7,22.2,87.6,150.4,247.5,218.1,344.6,269.6,141.6,16.0,0.0,1513.9,16.2,260.2,1079.8,157.6,69.1,15.0,36.6,1
Gujarat Region,2017,9.5,22.9,55.9,63.8,233.4,339.6,554.2,293.6,260.7,133.0,31.7,22.5,2020.9,32.4,353.1,1448.1,187.3,49.0,500.0,27.0,0
Tamil Nadu,2005,10.8,11.7,29.9,71.8,194.2,258.9,604.5,412.6,313.2,139.0,77.6,3.9,2128.3,22.6,296.0,1589.1,220.6,37.3,15.0,26.5,1
Coastal Karnataka,2024,23.6,24.8,92.3,129.8,228.1,555.1,944.8,643.5,601.2,241.6,122.8,22.9,3630.5,48.5,450.1,2744.6,387.3,12.0,250.0,35.7,1
Bihar,2003,1.6,20.8,25.2,67.6,223.3,402.4,542.7,620.6,273.6,55.8,57.9,24.0,2315.6,22.5,316.2,1839.2,137.7,31.2,30.0,29.9,1
Tamil Nadu,2007,4.6,6.3,49.5,67.0,217.1,256.8,395.5,503.1,345.8,132.0,98.6,2.4,2078.7,10.9,333.6,1501.2,233.0,50.7,15.0,26.1,1
Tamil Nadu,2017,0.0,10.7,12.0,60.1,178.9,444.1,729.7,506.1,222.3,183.7,17.2,21.7,2386.5,10.7,251.0,1902.2,222.6,36.3,15.0,34.9,1
Gangetic West Bengal,2004,5.2,19.1,21.0,63.2,184.6,264.0,242.8,357.3,112.2,136.3,0.0,10.6,1416.3,24.3,268.9,976.3,146.8,71.0,850.0,33.2,1
Konkan & Goa,2017,16.1,34.1,60.8,127.2,323.3,355.5,989.7,765.7,370.1,195.3,91.4,32.3,3361.4,50.2,511.3,2481.0,319.0,12.0,850.0,23.3,1
Konkan & Goa,1992,11.6,26.4,63.3,100.3,160.7,434.2,954.3,488.0,439.6,175.8,152.0,37.6,3043.7,38.0,324.3,2316.0,365.4,12.0,250.0,31.3,1
Odisha,2007,9.3,11.2,32.7,33.2,159.6,84.2,350.6,56.8,270.9,329.2,90.4,21.3,1449.5,20.5,225.5,762.6,440.9,66.9,80.0,23.6,0
Kerala,2014,24.9,21.7,21.9,119.8,202.4,667.3,1040.9,652.6,413.1,307.6,119.6,29.4,3621.2,46.6,344.1,2773.9,456.6,12.0,850.0,32.6,1
Bihar,1982,7.1,0.0,23.6,47.6,109.7,599.3,272.3,623.4,199.2,131.7,117.9,0.0,2131.9,7.1,181.0,1694.3,249.6,56.0,15.0,23.0,1
Bihar,2022,9.4,15.9,20.8,50.8,168.6,164.5,379.2,406.0,263.3,120.6,76.6,16.9,1692.5,25.3,240.2,1212.9,214.2,60.5,80.0,26.7,1
Kerala,2007,24.9,14.4,46.6,69.7,337.7,816.3,1036.2,515.6,449.1,279.5,121.2,19.3,3730.4,39.2,454.0,2817.2,420.0,12.0,250.0,26.2,1
Coastal Karnataka,2008,2.2,22.8,71.5,67.0,247.9,472.0,773.3,793.6,282.8,286.6,94.7,22.6,3136.9,25.0,386.4,2321.7,403.8,14.9,15.0,36.4,1
Odisha,2006,17.3,21.9,45.2,72.5,134.3,545.3,746.1,661.7,223.6,169.2,33.9,7.5,2678.7,39.3,252.0,2176.7,210.7,26.6,500.0,31.2,1
Konkan & Goa,2013,12.2,26.1,47.9,123.8,262.3,559.6,778.0,891.7,248.6,328.5,144.1,11.2,3433.9,38.2,434.0,2478.0,483.8,12.0,850.0,34.7,1
Coastal Karnataka,1981,15.3,21.6,74.0,115.1,178.0,737.9,1106.4,684.7,481.4,255.7,92.1,20.7,3783.0,36.9,367.2,3010.4,368.5,12.0,80.0,25.0,1
Tamil Nadu,1996,7.7,7.6,11.7,33.6,73.0,298.5,595.8,373.6,244.7,108.1,59.9,17.6,1831.8,15.3,118.3,1512.6,185.6,44.3,80.0,37.0,1
Bihar,1993,13.1,19.0,37.3,22.4,188.1,130.3,201.1,348.9,260.9,181.0,111.3,5.8,1519.3,32.1,247.8,941.3,298.1,68.2,15.0,25.0,0
Assam & Meghalaya,2017,16.0,36.7,44.5,86.3,238.6,571.4,613.5,602.9,485.4,232.9,61.4,17.5,3007.1,52.7,369.3,2273.3,311.8,23.8,15.0,31.5,1
Kerala,2023,15.7,26.0,36.6,97.1,230.1,553.1,832.4,782.3,475.5,54.0,107.4,28.3,3238.4,41.7,363.8,2643.2,189.7,12.0,500.0,26.6,1
Rayalseema,1990,20.2,4.0,14.0,25.6,151.4,233.8,809.6,338.0,183.8,246.2,58.2,33.3,2118.2,24.2,191.0,1565.2,337.7,32.6,15.0,33.5,1
Gangetic West Bengal,1990,2.9,12.7,24.1,106.3,131.4,189.5,392.6,513.5,234.9,199.1,57.0,16.8,1880.7,15.6,261.8,1330.5,272.9,52.9,30.0,34.2,1
Konkan & Goa,1997,12.8,9.8,52.6,105.0,232.8,555.1,826.1,734.9,309.8,142.1,121.7,30.9,3133.6,22.7,390.3,2425.8,294.7,20.2,30.0,30.3,1
Bihar,2007,12.9,10.4,37.0,46.9,96.7,281.3,669.1,379.1,322.4,171.2,68.7,7.0,2102.8,23.3,180.6,1651.9,247.0,40.7,30.0,28.2,1
Kerala,2019,18.1,20.3,59.1,110.5,224.8,758.8,719.1,750.3,444.9,201.4,155.0,31.3,3493.6,38.4,394.4,2673.0,387.8,12.0,250.0,27.1,0
Rayalseema,2024,15.6,14.9,23.8,50.1,156.4,456.3,719.3,626.3,167.0,139.0,35.0,11.0,2414.6,30.5,230.3,1968.9,184.9,31.7,80.0,32.4,1
Sub-Himalayan West Bengal,2022,20.3,18.0,33.2,70.2,156.6,307.5,614.7,536.8,252.4,226.3,95.5,24.5,2356.0,38.3,260.0,1711.5,346.2,40.7,80.0,23.1,1
Rayalseema,1983,18.8,13.0,44.7,45.1,163.4,352.1,475.2,275.8,239.0,187.9,46.8,3.2,1865.0,31.9,253.2,1342.1,237.8,54.9,30.0,31.2,1
Tamil Nadu,1998,11.1,21.6,38.3,80.1,123.6,217.7,551.2,384.1,281.2,182.6,97.8,6.3,1995.5,32.7,242.0,1434.2,286.6,42.7,250.0,31.5,1
Coastal Karnataka,2005,9.8,20.5,29.9,107.0,214.6,932.7,959.3,515.7,361.5,323.8,113.4,37.0,3625.3,30.3,351.5,2769.2,474.3,12.0,15.0,34.3,0
Rayalseema,2017,1.2,16.5,22.4,118.4,99.9,262.8,641.8,628.4,374.7,80.8,32.4,17.4,2296.7,17.7,240.7,1907.6,130.6,32.1,500.0,34.2,1
Gujarat Region,1983,8.0,9.3,28.3,26.9,199.0,470.7,500.5,308.9,98.2,194.9,17.1,30.7,1892.6,17.4,254.3,1378.3,242.7,43.1,80.0,23.0,1
Kerala,2002,15.7,27.3,53.1,67.1,196.9,822.3,792.1,450.1,537.4,339.4,85.4,25.2,3412.0,43.0,317.1,2601.8,450.1,12.0,15.0,29.3,1
Assam & Meghalaya,2003,15.7,23.8,61.0,88.5,210.4,505.2,693.4,742.0,523.0,287.9,173.4,25.6,3350.1,39.5,359.9,2463.7,487.0,17.1,15.0,34.9,1
Kerala,2005,24.2,16.0,48.1,172.1,199.5,783.7,820.3,517.3,328.7,245.2,94.5,29.2,3278.7,40.2,419.7,2450.0,368.8,12.0,500.0,24.2,1
Konkan & Goa,1984,17.7,30.6,70.1,105.3,254.4,566.8,740.0,717.8,385.0,260.3,51.1,38.7,3237.8,48.3,429.8,2409.5,350.1,12.0,850.0,26.4,1
Rayalseema,2022,8.3,24.6,50.7,73.2,149.4,404.5,732.8,380.4,374.0,106.9,22.5,36.2,2363.4,32.9,273.3,1891.6,165.6,35.6,15.0,36.7,1
East Uttar Pradesh,2008,0.8,13.3,15.0,77.5,187.9,10.0,524.9,398.7,182.6,214.1,46.5,19.7,1691.1,14.1,280.5,1116.2,280.3,52.4,850.0,35.4,0
Odisha,1992,10.0,15.2,30.5,75.3,148.4,252.5,695.3,294.3,389.9,48.0,112.1,14.0,2085.5,25.2,254.1,1632.0,174.2,43.2,500.0,31.2,1
Gujarat Region,2000,5.1,15.3,33.2,83.6,195.3,432.4,454.3,522.6,282.9,145.2,68.0,8.2,2246.2,20.4,312.1,1692.3,221.4,40.1,250.0,27.3,1
Assam & Meghalaya,1996,9.8,32.0,37.9,113.2,261.2,649.6,677.3,933.9,370.7,258.5,135.1,28.8,3507.9,41.9,412.3,2631.5,422.3,12.0,250.0,26.9,1
Bihar,2012,5.3,17.8,12.6,75.6,164.7,498.8,388.0,407.0,189.0,95.9,94.2,18.5,1967.4,23.1,252.9,1482.8,208.6,47.4,80.0,24.1,1
Bihar,2014,0.0,21.5,33.5,68.6,156.6,617.6,521.3,570.2,244.6,92.9,53.0,18.3,2398.2,21.5,258.8,1953.7,164.2,25.8,15.0,29.9,1
Tamil Nadu,2006,12.1,11.0,25.4,29.1,136.4,389.6,342.6,319.2,169.4,214.6,91.9,25.2,1766.5,23.1,190.9,1220.9,331.6,52.5,30.0,29.4,1
Kerala,1996,5.3,27.8,51.0,113.1,288.3,309.1,956.6,655.7,378.0,303.6,141.2,27.0,3256.7,33.1,452.4,2299.4,471.8,14.8,30.0,24.7,1
East Uttar Pradesh,1980,9.8,5.4,48.6,14.0,97.9,365.4,530.5,264.7,337.5,170.0,10.8,21.9,1876.6,15.2,160.5,1498.2,202.7,45.2,850.0,29.6,0
Gangetic West Bengal,1993,21.8,22.1,0.0,101.1,129.9,259.8,426.0,385.0,38.6,145.0,125.3,12.8,1667.4,44.0,231.0,1109.4,283.1,48.6,250.0,29.1,1
Gujarat Region,2016,11.9,31.7,24.7,87.3,57.5,133.4,555.7,432.6,324.1,134.6,74.1,22.0,1889.7,43.7,169.5,1445.8,230.8,41.3,850.0,29.9,0
Gujarat Region,2024,6.0,23.3,26.5,65.2,176.3,339.0,425.9,257.7,263.2,213.8,23.4,9.1,1829.5,29.3,268.0,1285.9,246.3,57.6,30.0,26.4,1
Coastal Karnataka,2020,20.0,20.8,28.1,107.2,311.1,324.6,952.2,538.4,353.6,248.4,93.5,36.4,3034.3,40.8,446.4,2168.9,378.3,12.0,15.0,30.7,1
Bihar,1996,14.9,8.3,15.7,77.9,185.3,302.0,582.0,508.6,302.6,208.9,44.0,20.8,2271.0,23.3,278.9,1695.2,273.6,37.5,15.0,32.2,1
East Uttar Pradesh,1991,13.5,13.3,26.4,96.9,189.4,537.5,540.5,551.6,312.2,122.0,74.0,26.5,2503.9,26.9,312.7,1941.8,222.5,33.4,15.0,30.3,1
Kerala,1984,17.7,0.2,50.2,81.3,219.5,573.1,1013.2,641.2,428.7,184.5,94.2,42.6,3346.4,17.9,351.0,2656.2,321.4,12.0,250.0,24.2,1
Bihar,1982,16.5,28.2,54.5,85.1,96.0,280.9,668.7,355.4,181.1,90.2,123.2,21.1,2001.0,44.7,235.6,1486.1,234.5,38.4,500.0,23.8,1
East Uttar Pradesh,2018,6.0,6.3,23.0,41.0,142.4,259.7,566.3,217.1,254.0,246.8,91.6,14.1,1868.5,12.3,206.5,1297.2,352.5,39.9,250.0,27.4,1
Konkan & Goa,2005,14.9,27.6,24.9,79.3,205.6,679.9,984.0,741.3,456.4,290.6,126.5,12.0,3643.0,42.6,309.8,2861.5,429.1,12.0,15.0,30.5,1
Sub-Himalayan West Bengal,1999,7.5,11.1,38.4,17.5,228.0,300.2,655.0,383.6,181.6,225.2,28.5,7.7,2084.2,18.5,283.9,1520.4,261.4,36.2,500.0,25.8,1
Konkan & Goa,2019,16.2,44.1,39.3,66.7,322.8,761.8,759.9,613.5,392.4,259.4,102.8,22.8,3401.9,60.3,428.9,2527.6,385.1,12.7,30.0,35.4,1
Kerala,1985,15.8,15.3,60.5,77.8,240.7,672.6,734.8,401.0,422.8,256.4,69.4,14.4,2981.4,31.1,379.0,2231.1,340.2,18.7,30.0,23.8,1
Gangetic West Bengal,2007,5.6,19.7,13.9,64.2,136.5,303.4,566.8,249.6,217.0,175.7,45.2,14.2,1811.8,25.3,214.6,1336.7,235.2,52.7,30.0,29.4,1
Kerala,1994,22.1,36.2,25.8,131.8,267.2,683.6,646.1,643.4,411.1,247.9,62.4,17.4,3194.8,58.3,424.8,2384.1,327.7,19.3,15.0,34.2,1
Gangetic West Bengal,1989,19.0,19.1,38.2,11.3,154.2,464.4,349.8,614.5,159.6,140.0,96.9,11.3,2078.2,38.1,203.7,1588.2,248.2,43.9,80.0,31.5,1
Bihar,1981,3.4,16.6,30.9,57.9,103.8,391.0,426.8,498.0,348.3,193.1,43.1,17.9,2130.8,20.0,192.6,1664.2,254.1,50.4,80.0,36.4,1
Gujarat Region,2021,9.6,21.8,28.3,81.1,154.5,462.8,580.0,282.2,295.9,189.3,104.1,22.0,2231.7,31.4,263.9,1620.9,315.4,46.1,30.0,28.2,1
Assam & Meghalaya,1981,28.9,18.3,14.3,76.7,246.7,559.0,567.4,808.5,286.3,243.6,108.1,34.4,2992.2,47.2,337.8,2221.2,386.1,24.2,250.0,29.1,1
Sub-Himalayan West Bengal,2024,5.0,21.8,25.6,75.8,72.2,447.6,623.1,561.1,107.5,202.6,70.5,9.5,2222.2,26.8,173.6,1739.3,282.6,28.5,250.0,26.4,1
Konkan & Goa,2008,16.2,17.0,78.7,81.9,212.4,635.4,829.8,727.5,355.7,298.6,150.5,23.1,3426.8,33.2,373.0,2548.4,472.2,12.0,850.0,29.6,1
Gangetic West Bengal,2011,3.2,16.0,24.2,48.1,106.6,270.6,504.5,379.8,355.6,71.2,131.9,28.5,1940.2,19.2,178.9,1510.5,231.6,41.2,30.0,28.1,1
Assam & Meghalaya,2022,20.9,27.1,52.6,86.8,225.5,701.9,773.7,571.5,448.3,370.1,67.6,35.4,3381.4,48.1,364.9,2495.3,473.1,12.8,30.0,34.7,1
Gujarat Region,1985,8.0,17.6,27.3,62.1,198.6,249.7,471.7,324.5,225.5,155.0,69.8,7.4,1817.2,25.6,288.1,1271.4,232.2,64.3,80.0,27.8,1
Rayalseema,2009,15.2,13.2,40.2,43.0,65.5,337.6,529.4,264.6,366.7,137.1,41.8,23.0,1877.1,28.4,148.6,1498.2,201.8,49.2,80.0,24.9,1
Konkan & Goa,2007,18.9,37.3,52.7,124.6,229.4,415.6,643.1,719.2,469.9,155.1,116.1,30.5,3012.5,56.3,406.7,2247.8,301.7,14.9,850.0,28.5,1
Bihar,2022,11.0,35.3,10.2,105.8,81.5,461.5,361.0,366.4,202.4,79.6,40.8,30.1,1785.6,46.3,197.5,1391.3,150.4,59.1,15.0,31.0,1
Coastal Karnataka,2019,10.9,24.2,50.0,134.9,231.6,567.4,969.3,687.8,368.2,255.4,131.6,38.4,3469.6,35.1,416.4,2592.6,425.4,12.0,850.0,36.8,1
Gangetic West Bengal,1981,15.7,14.4,18.2,56.2,184.7,307.8,538.0,421.2,300.0,198.0,92.0,8.5,2154.7,30.2,259.1,1567.0,298.5,45.1,30.0,30.1,1
Rayalseema,2018,10.8,2.5,43.1,73.6,155.0,350.0,727.9,273.0,245.2,76.4,35.8,12.6,2005.9,13.2,271.8,1596.1,124.7,32.3,250.0,25.2,1
Rayalseema,2021,8.8,33.5,32.1,36.0,120.6,557.3,656.9,474.4,263.5,138.6,105.0,16.5,2443.3,42.3,188.6,1952.2,260.2,35.1,30.0,23.8,1
East Uttar Pradesh,1984,13.8,19.6,35.5,77.2,195.0,445.7,808.5,494.0,366.2,236.8,68.3,10.6,2771.1,33.4,307.7,2114.4,315.7,12.2,500.0,32.3,1
Gujarat Region,1996,17.5,6.4,27.7,68.4,213.5,91.0,396.5,274.5,141.8,121.3,70.4,12.2,1441.3,24.0,309.6,903.7,204.0,55.9,500.0,25.4,1
East Uttar Pradesh,2017,5.7,0.0,6.5,10.1,82.4,153.7,490.3,636.3,408.2,228.8,59.8,0.0,2081.7,5.7,99.0,1688.5,288.6,42.1,500.0,30.0,1
Kerala,2022,18.0,37.2,55.4,78.1,283.4,708.1,774.4,789.8,490.7,205.3,120.8,7.7,3568.8,55.2,416.9,2763.0,333.7,12.0,15.0,32.6,1
Odisha,2016,9.7,17.7,17.9,76.2,96.9,308.3,394.9,488.3,348.5,178.2,45.0,24.5,2006.1,27.3,191.0,1540.0,247.7,42.6,30.0,25.1,1
Assam & Meghalaya,1999,27.3,22.9,71.8,110.5,149.9,555.0,883.1,576.2,257.4,202.6,125.1,20.6,3002.4,50.2,332.2,2271.6,348.3,22.0,250.0,34.2,1
Odisha,1989,2.9,9.6,44.0,91.7,179.7,400.4,512.8,350.6,199.9,150.0,10.6,19.8,1972.0,12.5,315.4,1463.7,180.4,44.7,500.0,28.5,1
Sub-Himalayan West Bengal,1989,20.4,19.3,12.1,80.0,202.1,518.1,401.3,606.4,164.2,134.0,109.8,36.4,2304.2,39.8,294.2,1690.0,280.2,39.8,850.0,25.9,0
Gujarat Region,1992,6.1,29.7,45.5,92.1,158.4,222.6,340.7,79.6,393.2,118.8,51.7,26.4,1564.7,35.8,296.0,1036.1,197.0,65.6,250.0,36.8,0
Tamil Nadu,1993,7.2,13.4,54.7,24.4,103.9,154.3,271.8,414.5,254.3,100.2,22.6,21.6,1442.8,20.6,183.0,1094.9,144.4,59.6,80.0,26.7,1
Rayalseema,2006,3.5,16.9,21.0,33.1,144.7,349.2,790.6,320.7,135.2,135.6,43.2,18.6,2012.2,20.5,198.8,1595.6,197.4,32.2,30.0,28.7,1
Tamil Nadu,1984,14.5,6.9,37.1,43.7,194.7,494.4,585.0,707.5,313.8,158.2,108.3,17.8,2681.9,21.4,275.6,2100.6,284.3,26.5,15.0,30.3,1
East Uttar Pradesh,1997,2.5,21.5,17.4,46.6,195.3,329.8,474.4,314.8,337.5,77.3,65.8,18.4,1901.3,24.0,259.3,1456.5,161.4,52.4,80.0,25.2,1
